"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","probC8","Cluster","maxProb","PlayerYear"
"695","Robertson, Daniel",621002,2017,254,0.206,0.308,0.326,0.634,0.12,0.284,5,137.5,130.09,72.07,70.13,83.74,82.68,50.91,88.14,111.13,68.8,106.88,57.11,0,0.968,0.002,0,0.003,0,0,0.027,2,0.968,"Daniel Robertson 2017"
"696","Robertson, Daniel",621002,2018,340,0.262,0.382,0.415,0.797,0.153,0.354,9,105.44,145.02,92.28,89.5,102.57,94.18,74.6,95.13,108.05,73.29,116.42,84.42,0.016,0.079,0.034,0,0.001,0.003,0.002,0.865,8,0.865,"Daniel Robertson 2018"
"697","Robertson, Daniel",621002,2019,237,0.213,0.312,0.295,0.607,0.082,0.275,2,113.14,115.73,84.56,67.61,85.49,79.56,17.91,89.64,95.05,85.41,97.5,22.23,0,0.75,0.046,0,0.183,0,0,0.02,2,0.75,"Daniel Robertson 2019"
"698","Vogelbach, Daniel",596129,2019,558,0.208,0.341,0.439,0.78,0.231,0.333,30,121.32,189.06,88.92,100.84,105.72,105.81,134.34,100.78,123.63,67.77,95.1,141.63,0.054,0.003,0.001,0.001,0,0.08,0.003,0.86,8,0.86,"Daniel Vogelbach 2019"
"699","Vogelbach, Daniel",596129,2021,258,0.219,0.349,0.381,0.73,0.162,0.325,9,98.99,188.06,95.95,93,104.06,95.54,97.17,122.53,79.62,61.49,75.9,102.25,0.014,0.001,0.013,0,0,0,0.067,0.904,8,0.904,"Daniel Vogelbach 2021"
"700","Vogelbach, Daniel",596129,2022,461,0.238,0.36,0.433,0.793,0.195,0.349,18,111.82,193.13,97.55,108.88,112.4,111.75,135.03,102.59,80.02,69.98,78.88,133.68,0.114,0,0.003,0.006,0,0.004,0.167,0.706,8,0.706,"Daniel Vogelbach 2022"
"701","Vogelbach, Daniel",596129,2023,319,0.233,0.339,0.404,0.743,0.171,0.327,13,113.17,152.79,91.69,96.05,100.41,99.02,110.04,125.07,76.92,74.61,94.14,125.42,0.089,0.008,0.021,0,0,0.007,0.018,0.857,8,0.857,"Daniel Vogelbach 2023"
"702","Espinosa, Danny",457787,2015,412,0.24,0.311,0.409,0.72,0.169,0.31,13,131.03,101.85,80.26,83.55,86.1,90.64,112.95,83.01,140.91,126.12,103.24,113.49,0.003,0.968,0.013,0,0,0.003,0,0.012,2,0.968,"Danny Espinosa 2015"
"703","Espinosa, Danny",457787,2016,601,0.209,0.306,0.378,0.684,0.169,0.294,24,142.4,107.34,77.83,86.51,89.02,97.33,124.91,94.17,139.4,112.26,131.08,125.61,0.011,0.81,0.002,0,0,0.14,0,0.036,2,0.81,"Danny Espinosa 2016"
"704","Espinosa, Danny",457787,2017,295,0.173,0.245,0.278,0.523,0.105,0.232,6,176.79,81.02,74.04,75.76,80.05,99.64,103.31,83.21,191.53,112.12,160.7,59.01,0,0.961,0,0,0,0.039,0,0,2,0.961,"Danny Espinosa 2017"
"705","Jansen, Danny",643376,2019,384,0.207,0.279,0.36,0.639,0.153,0.275,13,93.6,92.81,96.47,95.11,95.61,92.55,75.49,106.08,91.55,88.18,78.24,89.18,0.039,0.056,0.636,0,0.036,0,0.016,0.216,3,0.636,"Danny Jansen 2019"
"706","Jansen, Danny",643376,2021,205,0.223,0.299,0.473,0.772,0.25,0.329,11,96.3,93.47,97.16,109.21,102.83,101.58,100.72,112.46,123.91,85.37,82.17,157.29,0.622,0.006,0.076,0,0,0.006,0.035,0.255,1,0.622,"Danny Jansen 2021"
"707","Jansen, Danny",643376,2022,248,0.26,0.339,0.516,0.855,0.256,0.364,15,80.13,123.45,107.89,129.99,117.54,112.03,166.88,119.82,94.98,71.69,96.46,207.08,0.327,0,0,0.527,0,0.001,0.132,0.013,4,0.527,"Danny Jansen 2022"
"708","Jansen, Danny",643376,2023,301,0.228,0.312,0.474,0.786,0.246,0.336,17,91.78,87.97,87.69,100.84,97.93,92.17,126.6,93.55,92.42,87.16,94.83,173.82,0.245,0.078,0.242,0,0.003,0.004,0.011,0.416,8,0.416,"Danny Jansen 2023"
"709","Santana, Danny",542454,2015,277,0.215,0.241,0.291,0.532,0.076,0.231,0,124.91,28.01,79.86,61.85,67.74,74.43,8.82,68.44,105.68,137.02,119.56,0,0,0.965,0.004,0,0.031,0,0,0,2,0.965,"Danny Santana 2015"
"710","Santana, Danny",542454,2016,248,0.24,0.279,0.326,0.605,0.086,0.265,2,109.01,57.25,93.63,84.59,85.91,90.07,59.41,95.58,112.16,132.42,97.59,25.37,0.002,0.581,0.369,0,0.044,0,0,0.004,2,0.581,"Danny Santana 2016"
"711","Santana, Danny",542454,2019,511,0.283,0.324,0.534,0.858,0.251,0.352,28,134.04,56.14,109.96,115.5,105.72,122.97,121.55,115.63,138.2,132.78,113.88,144.34,0.978,0,0.002,0,0,0.018,0,0.002,1,0.978,"Danny Santana 2019"
"712","Valencia, Danny",502143,2015,378,0.29,0.345,0.519,0.864,0.229,0.367,18,108.09,98.03,110.61,121.95,112.37,117.83,178.25,135.72,97.04,104.64,131.33,171.27,0.823,0,0,0.153,0,0.017,0.004,0.003,1,0.823,"Danny Valencia 2015"
