name,,year,pa,avg,obp,slg,ops,iso,woba,k_pct+,bb_pct+,xba+,xslg+,xwoba+,xwobacon+,barrel_rate+,hard_hit_pct+,z_sw_miss_pct+,oz_sw_pct+,oz_sw_miss_pct+,hr_rate+,probC1,probC2,probC3,probC4,probC5,probC6,probC7,PC1,PC2,PC3,Cluster,maxProb
"Carpenter, Matt",Matt Carpenter,2023,237,0.176,0.322,0.319,0.641,0.143,0.293,126.09,200.25,69.27,80,95.76,89.8,131.33,77.54,102.76,73.56,131.29,64.93,0.876,0.001,0.006,0.069,0.042,0.005,0,-0.321229609,-2.873509121,-3.33150023,1,0.876
"Grossman, Robbie",Robbie Grossman,2022,477,0.209,0.31,0.311,0.621,0.102,0.283,122.24,143.01,84.74,77.59,90.24,87.59,44.59,78.17,93.26,65.88,115.71,50.24,0.876,0.003,0.034,0.013,0.044,0.03,0,-1.672969935,-1.818122806,-2.532415696,1,0.876
"Perez, Salvador",Salvador Perez,2021,665,0.273,0.316,0.544,0.86,0.271,0.359,114.67,47.3,110.06,134.01,114.56,126.78,193.15,141.4,116.06,161.69,116.06,211.58,0,0.887,0.002,0.001,0.003,0.098,0.008,4.089129497,0.842385605,4.047388446,2,0.887
"Howard, Ryan",Ryan Howard,2015,502,0.229,0.277,0.443,0.72,0.214,0.308,140.21,68.75,107.01,129.69,113.64,131.83,206.49,131.65,134.27,126.8,136.94,164.79,0.004,0.834,0.003,0.031,0.023,0.088,0.018,4.440998701,-0.43551222,2.391156646,2,0.834
"Burger, Jake",Jake Burger,2023,540,0.25,0.309,0.518,0.827,0.268,0.349,122.97,68.29,108.11,122.63,111.26,123.51,197.59,124.07,123.42,134.23,128.06,193.78,0.003,0.812,0.005,0.011,0.017,0.137,0.015,3.694990144,0.007160242,2.572275134,2,0.812
"Martinez, J.D.",J.D. Martinez,2023,479,0.271,0.321,0.572,0.893,0.301,0.369,138.56,82.18,108.51,132.45,114.36,136.42,202.32,137.83,134.91,111.92,134.52,212.03,0.005,0.797,0.004,0.049,0.013,0.066,0.065,5.172023573,-0.167273649,1.844358652,2,0.797
"Báez, Javier",Javier Báez,2018,645,0.29,0.326,0.554,0.88,0.264,0.366,120.84,51.79,106.04,121.69,106.33,120.48,177.35,118.36,130.02,156.28,121.06,168.11,0.001,0.794,0.003,0.004,0.025,0.171,0.002,2.792075355,-0.217982769,3.50752796,2,0.794
"Robert Jr., Luis",Luis Robert Jr.,2023,595,0.264,0.315,0.542,0.857,0.278,0.358,128.76,57.87,103.71,123.35,107.54,124.04,182.21,105.81,122.85,141.2,125.29,196.56,0.003,0.787,0.004,0.01,0.032,0.16,0.005,3.092443758,-0.386290009,2.902936252,2,0.787
"Castellanos, Nick",Nick Castellanos,2016,447,0.285,0.331,0.496,0.827,0.211,0.35,121.78,75.14,114.18,139.95,119.53,132.54,219.35,109.96,119.76,124.08,127.94,126.66,0.003,0.769,0.011,0.007,0.006,0.134,0.069,4.10267372,0.821865833,2.092588347,2,0.769
"Howard, Ryan",Ryan Howard,2016,362,0.196,0.257,0.453,0.71,0.257,0.298,154.67,89.45,96,127.97,109.57,133.08,236.11,134.48,163.48,131.72,123.5,217.23,0.004,0.751,0.001,0.136,0.055,0.045,0.009,5.10995724,-1.482533477,2.348944989,2,0.751
"Tomás, Yasmany",Yasmany Tomás,2016,563,0.272,0.313,0.508,0.821,0.236,0.345,118.83,65.6,108.65,119.1,107.7,118.83,161.47,118.41,128.63,138.68,122.97,173.2,0.004,0.748,0.007,0.007,0.024,0.202,0.007,2.819728468,-0.037053646,2.647255225,2,0.748
"Schoop, Jonathan",Jonathan Schoop,2015,321,0.279,0.306,0.482,0.788,0.203,0.338,125.42,35.65,104.62,115.22,103.82,115.63,153.54,118.25,157.53,145.2,115.55,168.07,0.002,0.744,0.002,0.007,0.057,0.186,0.001,2.392923916,-0.776902843,3.390803236,2,0.744
"Arraez, Luis",Luis Arraez,2022,603,0.316,0.375,0.42,0.795,0.104,0.35,32.14,101.45,119.05,103.79,106.94,89.51,45.86,77.65,32.24,82.27,25.19,45.42,0.008,0.003,0.873,0,0,0.105,0.011,-2.485797786,4.593178917,-1.002428263,3,0.873
"Arraez, Luis",Luis Arraez,2019,366,0.334,0.399,0.439,0.838,0.105,0.36,35.9,112.29,113.93,93.04,102.35,84.24,34.55,60.47,34.41,84.03,30.09,28.79,0.02,0.002,0.864,0,0,0.111,0.003,-3.401513463,3.823183551,-1.378162487,3,0.864
"Kwan, Steven",Steven Kwan,2022,638,0.298,0.373,0.4,0.773,0.102,0.341,42.56,118.57,110.78,86.75,100.2,81.82,17.83,53.48,31.66,68.95,45.62,32.2,0.054,0.001,0.86,0,0,0.082,0.002,-3.644126559,3.172708053,-2.121501046,3,0.86
"Fletcher, David",David Fletcher,2019,653,0.29,0.35,0.384,0.734,0.094,0.318,44.53,96.25,115.92,85.02,97.75,83.2,2.56,45.35,32.07,77.8,47.91,24.2,0.035,0.002,0.823,0,0,0.138,0.001,-4.084389132,3.216412509,-1.406554657,3,0.823
