"","name","player_id","year","pa","avg","obp","slg","ops","woba","home_run","adj_k_pct","adj_bb_pct","adj_xba","adj_xslg","adj_xwoba","adj_xwobacon","adj_barrel_pct","adj_hh_pct","adj_zswm_pct","adj_ozsw_pct","adj_ozswm_pct","adj_hr_rate","probC1","probC2","probC3","probC4","probC5","probC6","Cluster","PlayerYear"
"2432","Schebler, Scott",594988,2018,430,0.255,0.337,0.439,0.776,0.337,17,107.31,104.74,105.23,110.72,109.14,111.08,149.2,116.99,142.48,116.04,112.27,126.08,0.869,0.003,0,0.006,0.08,0.042,1,"Scott Schebler 2018"
"2433","Van Slyke, Scott",475100,2015,253,0.239,0.317,0.383,0.7,0.305,6,124.91,115.85,81.46,86.29,89.58,90.36,97.07,92.33,145.57,84.87,122.5,85.3,0.011,0.947,0.003,0,0.037,0.002,2,"Scott Van Slyke 2015"
"2434","Murphy, Sean",669221,2021,448,0.216,0.306,0.405,0.711,0.309,17,113.77,100.22,96.75,105.16,104.06,106.83,133.9,107.18,103.17,106.35,112.35,111.23,0.773,0.051,0.003,0,0.061,0.112,1,"Sean Murphy 2021"
"2435","Murphy, Sean",669221,2022,612,0.25,0.332,0.426,0.758,0.331,18,91.9,112.45,105.41,111.68,110.48,107.08,133.76,106.45,99.59,100.7,92.42,100.7,0.573,0.005,0.004,0.001,0.005,0.412,1,"Sean Murphy 2022"
"2436","Murphy, Sean",669221,2023,438,0.251,0.365,0.478,0.843,0.366,21,99.8,129.64,109.71,128.62,122.42,121.41,190.49,114.56,109.65,80.19,106.37,147.56,0.163,0,0,0.777,0.012,0.048,4,"Sean Murphy 2023"
"2437","Rodríguez, Sean",446481,2015,240,0.246,0.281,0.362,0.643,0.281,4,134.09,26.73,84.65,87.29,84.2,94.48,116.48,75.43,130.28,119.3,132.93,59.95,0.008,0.983,0.006,0,0.002,0,2,"Sean Rodríguez 2015"
"2438","Rodríguez, Sean",446481,2016,342,0.27,0.349,0.51,0.859,0.363,18,146.33,114.5,94.42,114.55,106.45,123.94,173.65,103.19,169.82,92.1,162.74,165.55,0.017,0,0,0.003,0.98,0,5,"Sean Rodríguez 2016"
"2439","Zavala, Seby",664874,2022,205,0.27,0.347,0.382,0.729,0.323,2,141.25,113.68,85.57,82.93,90.89,99.4,117.2,95.14,153.13,108.21,147.55,33.4,0.014,0.871,0,0,0.114,0.001,2,"Seby Zavala 2022"
"2440","Suzuki, Seiya",673548,2022,446,0.262,0.336,0.433,0.769,0.334,14,111.82,114.9,102.1,106.33,104.69,109.01,140.13,106.19,91.53,72.71,98.84,107.47,0.481,0.019,0.003,0.002,0.032,0.464,1,"Seiya Suzuki 2022"
"2441","Suzuki, Seiya",673548,2023,583,0.285,0.357,0.485,0.842,0.358,20,99.36,116.91,113.32,112.33,110.64,111.92,124.23,120.07,90.7,69.03,90.68,105.58,0.328,0.001,0.001,0.009,0.004,0.658,6,"Seiya Suzuki 2023"
